ProbeFileID|TrainCamID|OutputProbeMaskFileName|ConfidenceScore|ProbeStatus|ProbeOptOutPixelValue
75ed2ccf33845a44f0590c9482cf1ca3|ES-D5100_primary_video||28.15|Processed|
7199d714a3e9f54c6b070ddbe364d4c3|ES-D5100_primary_video||22.74|Processed|
f8d2ed5d34124e8ad3bd4d4a1d108184|ES-D5100_primary_video||32.15|Processed|
70b9ac808cf1373c48b8f0d80fbd4507|ES-D5100_primary_video||-1.00|OptOutAll|
83db8eb578ee88537e851c3c17a4de5c|ES-D5100_primary_video||-1.00|OptOutAll|
746c538433f1d9a508b0bb2902bb938b|ES-D5100_primary_video||25.26|Processed|
9fc9a7459f21b23f09f49dbe5e3a0663|ES-D5100_primary_video||25.22|Processed|
1dcbd3d40a8c63a30ed226c2e38dbfd4|ES-D5100_primary_video||24.94|Processed|
0679b7e6a1688ff412e18bdebe246442|ES-D5100_primary_video||26.02|Processed|
1c20c5778d792d5803de04662e359ccc|ES-D5100_primary_video||-1.00|OptOutAll|
11c94a7b93e2b5bed70d61da17762390|ES-D5100_primary_video||-1.00|OptOutAll|
2bfe7d6a032e7460add10311a04d01cb|ES-D5100_primary_video||1817.46|Processed|
d7e636ba4b0c30e65353d653246ec126|ES-D5100_primary_video||3903.21|Processed|
80a13f08653249baaba174a34b09f7ea|ES-D5100_primary_video||131.32|Processed|
7ba8341bf78f3e656f9ff5dab231fc54|ES-D5100_primary_video||12024.33|Processed|
0ce2fb2790997ec0e368b74d9db2ea28|ES-D5100_primary_video||3160.76|Processed|
b44d7dfd0d1cef2f13e15296d0f073d8|ES-D5100_primary_video||1553.41|Processed|
5e562dd89dd28144fb0424cb23341d8b|ES-D5100_primary_video||25.46|Processed|
b073e8576f15867fe8e7a691985271ad|ES-D5100_primary_video||24.63|Processed|
80477616336656ef2af661a79676a55a|ES-D5100_primary_video||28.04|Processed|
95ce8ffcc7dff02040495389332085aa|ES-D5100_primary_video||-1.00|OptOutAll|
920d93f8255595cd558e5b8263717de5|ES-D5100_primary_video||14714.95|Processed|
be5ba8e769915b5a4371d37b16df76c1|ES-D5100_primary_video||-1.00|OptOutAll|
fe26257f88a52f481f78479069203645|PAR-1579_primary_video||72.60|Processed|
4f746fa223c74ca0e63125f51f1b606e|PAR-1579_primary_video||113.00|Processed|
f02be41241b56cabcf18791af662efb5|PAR-1579_primary_video||116.37|Processed|
36f525ad4abf1a69734e1efbdafb7417|PAR-1579_primary_video||-1.00|OptOutAll|
3aafe09bacf1b75e1672e9980b6a1c2e|PAR-1579_primary_video||-1.00|OptOutAll|
20df2f8111d13826b958725c9e0ae40b|PAR-1579_primary_video||81.02|Processed|
9290bc58e85305a03ed72458ae261691|PAR-1579_primary_video||102.57|Processed|
1c680f71c185f26f7f9b30e02e71034e|PAR-1579_primary_video||51.38|Processed|
1b6555ceee532069a2040900987e3437|PAR-1579_primary_video||58.61|Processed|
0a1f229e64a42c685d347fda749b7fbf|PAR-1579_primary_video||-1.00|OptOutAll|
a95314d44b50f88b43e1c4ad288a6d42|PAR-1579_primary_video||227.09|Processed|
4ba59c9eab2caada107ec789af2fc3fe|PAR-1579_primary_video||119.95|Processed|
b7c7a74571e87bce9d485394e5b34401|PAR-1579_primary_video||51.95|Processed|
83019965991a1a9984d7c7bff392122b|PAR-1579_primary_video||70.48|Processed|
80a13f08653249baaba174a34b09f7ea|PAR-1579_primary_video||48.68|Processed|
6e546b9da1742556be0ff41a5be903d9|PAR-1579_primary_video||48.26|Processed|
36cd4d83519648c15ef6fbe310a9e0ba|PAR-1579_primary_video||51.60|Processed|
ee897023e846bd55aa99557be42128c4|PAR-1579_primary_video||-1.00|OptOutAll|
49b1371871cc44d34bce8bae6cf6c894|PAR-1579_primary_video||141.16|Processed|
d538e0b48359332e53950eae0c70ff86|PAR-1579_primary_video||3956.40|Processed|
3632030c1a7705222b6616ebf20593f2|PAR-1579_primary_video||370.88|Processed|
64928d8d0267b49830b2ca5f6b850b5f|MK-NEX5T_primary_video||-1.00|OptOutAll|
d0a6d1ea77975e7da35bfd81063fd3fe|MK-NEX5T_primary_video||-1.00|OptOutAll|
a94d40dabf90ddcfff0b3afda3e02ad4|MK-NEX5T_primary_video||-1.00|OptOutAll|
a4fee39a25f2355bcc987037cb144cd4|MK-NEX5T_primary_video||-1.00|OptOutAll|
8fd2a6c09064750da1ed54befe22edbf|MK-NEX5T_primary_video||-1.00|OptOutAll|
47cb70ae40f72761687088958131ceb6|MK-NEX5T_primary_video||-1.00|OptOutAll|
42cc7e5d50ebce6ed2dabd89ab3c6b9e|MK-NEX5T_primary_video||-1.00|OptOutAll|
a27879234d42f2ecd360fc69a702a1f1|MK-NEX5T_primary_video||-1.00|OptOutAll|
a9b5901bf590a8aac3a2150d226e5972|MK-NEX5T_primary_video||-1.00|OptOutAll|
26fe7dc24deec7868a6bd60e5aca9e51|MK-NEX5T_primary_video||-1.00|OptOutAll|
21359f7478be481e6f2ec0ce2a2f7656|MK-NEX5T_primary_video||-1.00|OptOutAll|
70b9ac808cf1373c48b8f0d80fbd4507|MK-NEX5T_primary_video||-1.00|OptOutAll|
771a485b6b16fb8218e04986164f781d|MK-NEX5T_primary_video||-1.00|OptOutAll|
fb7d68d138740670ed9f388ce1c7a341|MK-NEX5T_primary_video||-1.00|OptOutAll|
a2e69856ae1eb7779ebcfce9a440f91c|MK-NEX5T_primary_video||-1.00|OptOutAll|
1ccd679cc4c3d872c6dbf7c11e900d72|MK-NEX5T_primary_video||-1.00|OptOutAll|
601a9fec8060c3a45175d0d6f127d5d6|MK-NEX5T_primary_video||-1.00|OptOutAll|
83f33f74d3140321843a9d9cde720f41|MK-NEX5T_primary_video||-1.00|OptOutAll|
